@relation TestingWordCounter-weka.filters.unsupervised.attribute.Remove-R1

@attribute score_tag {NONE,P,P+,N,NEU,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {OBJECTIVE,SUBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute anger numeric
@attribute joy numeric
@attribute fear numeric
@attribute sadness numeric
@attribute surprise numeric
@attribute word_number numeric
@attribute class {1,2,3,4,5}

@data
NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.190997,0.206658,0.228191,0.163273,0.210881,152,?
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.539578,0.050649,0.070407,0.272673,0.066693,51,?
P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.313149,0.393459,0.108858,0.152748,0.031785,94,?
P,AGREEMENT,SUBJECTIVE,90,IRONIC,0.483144,0.242226,0.062228,0.147665,0.064737,36,?
P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.265191,0.214545,0.057405,0.351984,0.110875,80,?
P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.154155,0.330733,0.048543,0.352196,0.114374,72,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.451634,0.03454,0.061353,0.353282,0.099192,68,?
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.299359,0.048611,0.168821,0.392954,0.090255,88,?
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.319808,0.046586,0.098388,0.358641,0.176577,54,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.01609,0.272701,0.026452,0.046061,0.638696,91,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.159521,0.220517,0.049396,0.45289,0.117676,35,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.01064,0.209013,0.00597,0.016527,0.75785,161,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.368632,0.11948,0.060354,0.31081,0.140724,27,?
NEU,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.003579,0.023788,0.003806,0.009956,0.958872,49,?
P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.213627,0.093488,0.03783,0.331631,0.323425,545,?
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.231736,0.098383,0.334952,0.240817,0.094112,110,?
P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.260061,0.2771,0.057163,0.256614,0.149062,73,?
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.591947,0.025509,0.028497,0.212705,0.141342,242,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.326745,0.235081,0.107333,0.312012,0.018828,259,?
P,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.173327,0.299109,0.318722,0.150011,0.058831,170,?
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.320629,0.231097,0.109818,0.296462,0.041993,51,?
P,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.049713,0.535766,0.036905,0.104638,0.272978,84,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.15124,0.367863,0.09589,0.344197,0.040809,57,?
P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.421207,0.122195,0.02852,0.236818,0.19126,150,?
P,DISAGREEMENT,SUBJECTIVE,89,NONIRONIC,0.351106,0.434719,0.023258,0.124677,0.06624,32,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.010524,0.028371,0.006712,0.025884,0.928509,291,?
N+,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.641927,0.03347,0.059893,0.250664,0.014046,85,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.337213,0.172113,0.044972,0.229849,0.215852,136,?
P,AGREEMENT,SUBJECTIVE,80,IRONIC,0.170383,0.340618,0.231262,0.210232,0.047506,57,?
P,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.091008,0.402066,0.105222,0.18516,0.216545,67,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.018481,0.056885,0.008888,0.052897,0.862849,96,?
N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.394111,0.180537,0.075296,0.277507,0.072549,88,?
P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.220024,0.224004,0.034646,0.46994,0.051387,111,?
P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.206519,0.19964,0.04571,0.250639,0.297492,20,?
