@relation Training

@attribute id numeric
@attribute score_tag {NONE,P,NEU,N,P+,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {OBJECTIVE,SUBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute anger numeric
@attribute joy numeric
@attribute fear numeric
@attribute sadness numeric
@attribute surprise numeric
@attribute noAlphanumerics numeric
@attribute negation_words numeric
@attribute word_number numeric
@attribute misspelled numeric
@attribute extraversion numeric
@attribute openness numeric
@attribute agreeableness numeric
@attribute conscientiousness numeric
@attribute class {1,2,3,4,5}

@data
1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.182999,0.199014,0.262134,0.158242,0.197612,254,0,242,5,0.36264,0.777535,0.490652,0.508673,1
2,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.367693,0.121008,0.072629,0.312278,0.126392,103,0,99,4,0.536946,0.423971,0.447167,0.512516,1
3,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.802936,0.02615,0.032649,0.13311,0.005155,140,0,137,7,0.480717,0.507498,0.393396,0.526351,1
4,NEU,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.646615,0.042041,0.034603,0.21043,0.066311,25,0,22,1,0.514328,0.461155,0.480755,0.52807,1
5,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.404269,0.106609,0.064544,0.402915,0.021662,18,0,17,1,0.519547,0.446545,0.44454,0.486847,1
6,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.702374,0.045102,0.018223,0.223077,0.011225,75,22,72,3,0.482743,0.511159,0.521978,0.456808,1
7,N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.614158,0.037807,0.151023,0.194372,0.00264,42,0,41,1,0.511034,0.503471,0.468887,0.50884,1
8,N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.57345,0.025746,0.056053,0.30652,0.03823,165,0,164,2,0.41137,0.525535,0.484105,0.502091,1
9,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.667675,0.022916,0.048526,0.241852,0.01903,257,0,251,4,0.495346,0.553937,0.437432,0.49377,1
10,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.112855,0.051691,0.034949,0.313051,0.487454,93,0,91,8,0.48383,0.538623,0.486597,0.514012,1
11,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.620577,0.042585,0.083731,0.249478,0.003629,149,11,143,3,0.509629,0.52296,0.441727,0.50101,1
12,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.691418,0.023514,0.043499,0.197022,0.044548,106,33,97,7,0.518772,0.530611,0.43635,0.504709,1
13,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.632408,0.04181,0.067618,0.189789,0.068376,148,22,129,1,0.454147,0.590563,0.316938,0.502898,1
14,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.272891,0.084445,0.088556,0.526531,0.027577,33,0,32,1,0.551549,0.483857,0.569168,0.496902,1
15,P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.846362,0.001568,0.012174,0.134773,0.005123,37,11,35,0,0.603625,0.496376,0.558853,0.412451,1
16,N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.295684,0.079137,0.109695,0.506653,0.008831,224,11,218,4,0.501197,0.493315,0.407591,0.491833,1
17,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.606563,0.047457,0.06164,0.262847,0.021494,48,0,47,0,0.42654,0.508621,0.402035,0.552354,1
