id,score_tag,agreement,subjectivity,confidence,irony,anger,joy,fear,sadness,surprise,noAlphanumerics,negation_words,word_number,misspelled,extraversion,openness,agreeableness,conscientiousness,class
1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.182998657,0.19901368,0.262133986,0.15824157,0.197612137,254,0,242,5,0.362640396,0.777535005,0.490651639,0.508673108,1
2,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.367692709,0.121008106,0.072629027,0.312278062,0.126392111,103,0,99,4,0.536946469,0.423971474,0.447166575,0.512515823,1
3,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.802936435,0.026149813,0.032648895,0.133110046,0.005154788,140,0,137,7,0.480717384,0.507497538,0.393396258,0.526351406,1
4,NEU,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.646615148,0.04204113,0.034603193,0.210429966,0.066310547,25,0,22,1,0.514327575,0.46115479,0.480755387,0.528069907,1
5,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.404269218,0.106608957,0.064544365,0.402915478,0.021661986,18,0,17,1,0.519547331,0.446545232,0.444539639,0.486847493,1
6,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.702373743,0.045101713,0.01822285,0.223077089,0.01122459,75,22,72,3,0.48274313,0.511158652,0.521978133,0.456808227,1
7,N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.614157677,0.037807088,0.151022911,0.194372401,0.002639851,42,0,41,1,0.511034067,0.503471137,0.468887006,0.508840257,1
8,N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.57344985,0.025746353,0.05605324,0.306520224,0.03823036,165,0,164,2,0.41136968,0.525535282,0.484104939,0.50209141,1
9,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.667675376,0.022916492,0.048525512,0.241852373,0.01903029,257,0,251,4,0.495345554,0.553936746,0.437431581,0.493770046,1
10,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.112854682,0.051691085,0.034949418,0.313051224,0.48745358,93,0,91,8,0.483829736,0.538622554,0.48659691,0.514011991,1
11,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.620576739,0.042585127,0.0837311,0.249478489,0.003628545,149,11,143,3,0.509629034,0.52295978,0.441726832,0.501010436,1
12,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.691417754,0.023513675,0.043499067,0.197021574,0.04454799,106,33,97,7,0.51877184,0.530611098,0.436349761,0.504708737,1
13,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.632407665,0.041809615,0.067617513,0.18978934,0.068375871,148,22,129,1,0.454147372,0.590562522,0.316938056,0.502897596,1
14,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.272891253,0.08444494,0.088556141,0.526530862,0.027576763,33,0,32,1,0.551548935,0.483857294,0.56916801,0.496902061,1
15,P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.846362412,0.001567745,0.012173731,0.134772971,0.005123133,37,11,35,0,0.603624932,0.496375701,0.558852569,0.41245063,1
16,N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.295683563,0.07913743,0.109695166,0.506653309,0.008830623,224,11,218,4,0.501196838,0.49331476,0.4075914,0.491832512,1
17,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.606562793,0.047456592,0.061639868,0.262846768,0.021493994,48,0,47,0,0.426540259,0.508621343,0.402035158,0.552353681,1
18,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.533300161,0.047865309,0.020802042,0.143088371,0.254944056,59,11,56,0,0.501306744,0.527169818,0.499556568,0.493607569,1
19,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.711521327,0.044587959,0.028469374,0.208885089,0.006536253,76,0,75,2,0.408487333,0.478912496,0.570960853,0.535862902,1
