id,score_tag,agreement,subjectivity,confidence,irony,anger,joy,fear,sadness,surprise,word_number,class
1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.182998657,0.19901368,0.262133986,0.15824157,0.197612137,242,1
2,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.367692709,0.121008106,0.072629027,0.312278062,0.126392111,99,1
3,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.802936435,0.026149813,0.032648895,0.133110046,0.005154788,137,1
4,NEU,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.646615148,0.04204113,0.034603193,0.210429966,0.066310547,22,1
5,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.404269218,0.106608957,0.064544365,0.402915478,0.021661986,17,1
6,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.702373743,0.045101713,0.01822285,0.223077089,0.01122459,72,1
7,N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.614157677,0.037807088,0.151022911,0.194372401,0.002639851,41,1
8,N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.57344985,0.025746353,0.05605324,0.306520224,0.03823036,164,1
9,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.667675376,0.022916492,0.048525512,0.241852373,0.01903029,251,1
10,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.112854682,0.051691085,0.034949418,0.313051224,0.48745358,91,1
11,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.620576739,0.042585127,0.0837311,0.249478489,0.003628545,143,1
12,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.691417754,0.023513675,0.043499067,0.197021574,0.04454799,97,1
13,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.632407665,0.041809615,0.067617513,0.18978934,0.068375871,129,1
14,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.272891253,0.08444494,0.088556141,0.526530862,0.027576763,32,1
15,P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.846362412,0.001567745,0.012173731,0.134772971,0.005123133,35,1
