@relation Training-weka.filters.unsupervised.attribute.Remove-R1

@attribute score_tag {NONE,P,NEU,N,P+,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {OBJECTIVE,SUBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute anger numeric
@attribute joy numeric
@attribute fear numeric
@attribute sadness numeric
@attribute surprise numeric
@attribute noAlphanumerics numeric
@attribute negation_words numeric
@attribute word_number numeric
@attribute misspelled numeric
@attribute class {1,2,3,4,5}

@data
NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.182999,0.199014,0.262134,0.158242,0.197612,254,0,242,5,1
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.367693,0.121008,0.072629,0.312278,0.126392,103,0,99,4,1
P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.802936,0.02615,0.032649,0.13311,0.005155,140,0,137,7,1
NEU,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.646615,0.042041,0.034603,0.21043,0.066311,25,0,22,1,1
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.404269,0.106609,0.064544,0.402915,0.021662,18,0,17,1,1
NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.702374,0.045102,0.018223,0.223077,0.011225,75,22,72,3,1
N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.614158,0.037807,0.151023,0.194372,0.00264,42,0,41,1,1
N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.57345,0.025746,0.056053,0.30652,0.03823,165,0,164,2,1
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.667675,0.022916,0.048526,0.241852,0.01903,257,0,251,4,1
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.112855,0.051691,0.034949,0.313051,0.487454,93,0,91,8,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.620577,0.042585,0.083731,0.249478,0.003629,149,11,143,3,1
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.691418,0.023514,0.043499,0.197022,0.044548,106,33,97,7,1
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.632408,0.04181,0.067618,0.189789,0.068376,148,22,129,1,1
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.272891,0.084445,0.088556,0.526531,0.027577,33,0,32,1,1
P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.846362,0.001568,0.012174,0.134773,0.005123,37,11,35,0,1
N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.295684,0.079137,0.109695,0.506653,0.008831,224,11,218,4,1
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.606563,0.047457,0.06164,0.262847,0.021494,48,0,47,0,1
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.5333,0.047865,0.020802,0.143088,0.254944,59,11,56,0,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.711521,0.044588,0.028469,0.208885,0.006536,76,0,75,2,1
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.570907,0.029184,0.054913,0.337476,0.007519,245,0,241,4,1
P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.694138,0.017061,0.05452,0.223855,0.010425,198,44,189,8,1
NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.802924,0.015525,0.028351,0.13196,0.02124,252,22,235,14,1
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.530594,0.076211,0.14292,0.196917,0.053359,221,33,216,6,1
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.701619,0.007439,0.032108,0.251341,0.007494,31,11,29,0,1
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.397919,0.03064,0.149261,0.400036,0.022145,53,0,52,0,1
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.74154,0.042154,0.076131,0.135916,0.004259,49,0,48,2,1
P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.712532,0.009276,0.077603,0.194124,0.006465,76,22,73,0,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.21178,0.181828,0.085777,0.491557,0.029058,133,0,128,5,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.60153,0.085507,0.094206,0.200117,0.018639,112,0,111,3,1
P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.713801,0.038273,0.020855,0.16091,0.06616,119,0,118,1,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.591,0.034634,0.029501,0.319265,0.0256,157,0,151,4,1
N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.388357,0.040191,0.060728,0.469381,0.041342,105,11,103,4,1
N,AGREEMENT,SUBJECTIVE,90,IRONIC,0.425675,0.038292,0.062272,0.454412,0.01935,118,0,116,9,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.390713,0.10813,0.172704,0.303206,0.025248,64,11,61,2,1
NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.371632,0.160041,0.087122,0.352119,0.029086,58,11,56,1,1
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.294242,0.053514,0.249544,0.386588,0.016112,131,0,128,5,1
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.149025,0.118529,0.137632,0.55164,0.043174,76,33,71,1,1
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.331391,0.073258,0.180779,0.37777,0.036801,93,0,90,3,1
P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.648127,0.07106,0.046396,0.070651,0.163765,208,11,202,10,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.517526,0.030933,0.125807,0.321962,0.003772,44,11,42,0,1
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.701914,0.035846,0.030442,0.199038,0.03276,120,22,117,4,1
N,AGREEMENT,SUBJECTIVE,82,IRONIC,0.355927,0.117444,0.078245,0.394772,0.053611,129,22,125,2,1
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.627726,0.018072,0.056167,0.281066,0.016968,46,33,41,1,1
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.697383,0.009729,0.049485,0.238823,0.00458,72,33,68,3,1
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.596021,0.019076,0.173123,0.194876,0.016904,90,11,88,5,1
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.469805,0.045277,0.054753,0.383299,0.046867,438,22,421,8,1
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.775665,0.02461,0.058807,0.117398,0.023521,93,33,88,3,1
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.532558,0.03248,0.161814,0.207501,0.065647,140,0,117,2,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.644754,0.047436,0.03673,0.244223,0.026856,124,22,120,2,1
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.720231,0.032248,0.041243,0.198203,0.008075,8,0,7,0,1
